保留盈餘,公司代號,公司名稱,共同控制下前手權益,其他權益,出表日期,合併前非屬共同控制股權,季別,年度,庫藏股票,待註銷股本股數,權益─具證券性質之虛擬通貨,權益總計,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
2300559.00,1339,昭輝,,-104861.00,1150905,,2,115,,0.00,,4224073.00,4130306.00,0.00,55.72,758596.00,1803240.00,741239.00,961016.00,1193369.00,5185089.00,93767.00,202420.00,3381849.00,0.00
-986624.00,1340,勝悅-KY,0.00,-413556.00,1150905,,2,115,,,,2669863.00,2669863.00,0.00,17.46,188981.00,815014.00,1529229.00,419535.00,2540814.00,3089398.00,0.00,230554.00,2274384.00,0.00
872489.00,1341,富林-KY,,-339751.00,1150905,,2,115,,,,1237860.00,1237860.00,0.00,23.42,1028636.00,1728960.00,528506.00,1057940.00,176616.00,2295800.00,,29304.00,566840.00,0.00
800625.00,1342,八貫,,-5726.00,1150905,,2,115,,,,2250651.00,,0.00,28.85,1149859.00,2401248.00,780009.00,1570073.00,675743.00,3820724.00,,420214.00,1419476.00,0.00
155554388.00,1402,遠東新,,10257213.00,1150905,,2,115,-25063.00,,,314550394.00,232807385.00,779000.00,43.50,171803884.00,171853943.00,53528751.00,375168587.00,13492096.00,689718981.00,81743009.00,203364703.00,517865038.00,0.00
411613.00,1410,南染,,-3381.00,1150905,,2,115,0.00,0.00,,1084328.00,1051199.00,0.00,16.95,54673.00,657126.00,620000.00,233253.00,22967.00,1317581.00,33129.00,178580.00,660455.00,0.00
-157250.00,1413,宏洲,,-8703.00,1150905,,2,115,,,,1155171.00,,0.00,8.74,592881.00,807201.00,1321124.00,1420507.00,0.00,2575678.00,,827626.00,1768477.00,0.00
1125033.00,1414,東和,,-122410.00,1150905,,2,115,,,,2982623.00,2982623.00,0.00,15.06,541961.00,937566.00,1980000.00,1220198.00,,4202821.00,,678237.00,3265255.00,0.00
1902134.00,1416,廣豐,,662598.00,1150905,,2,115,,0.00,,4538497.00,4468209.00,0.00,24.11,673828.00,1528145.00,1853422.00,1887066.00,50055.00,6425563.00,70288.00,1213238.00,4897418.00,0.00
229838.00,1417,嘉裕,,235263.00,1150905,,2,115,,,,2364520.00,2364520.00,0.00,12.45,290859.00,1623329.00,1899419.00,395426.00,,2759946.00,,104567.00,1136617.00,0.00
-907061.00,1418,東華,,1551018.00,1150905,,2,115,-80333.00,,,1139970.00,1139975.00,2522865.00,20.99,200819.00,1570626.00,568343.00,4380949.00,8008.00,5520919.00,-5.00,4180130.00,3950293.00,0.00
8860441.00,1419,新紡,,10868842.00,1150905,,2,115,-13174.00,,,22787059.00,22787059.00,803829.00,76.15,3976035.00,7112345.00,3000413.00,4956677.00,70537.00,27743736.00,,980642.00,20631391.00,0.00
818624.00,1423,利華,,1494574.00,1150905,,2,115,,,,3415789.00,,0.00,34.28,375867.00,1304157.00,996480.00,575576.00,106111.00,3991365.00,,199709.00,2687208.00,0.00
38266.00,1432,大魯閣,,-87609.00,1150905,,2,115,,0.00,,1509053.00,1326853.00,0.00,12.29,1363693.00,1469997.00,1080000.00,2207552.00,296196.00,3716605.00,182200.00,843859.00,2246608.00,0.00
19845961.00,1434,福懋,,11030726.00,1150905,,2,115,-19064.00,0.00,,48659330.00,48659330.00,2193228.00,28.92,6279917.00,16345497.00,16846646.00,15652669.00,955061.00,64311999.00,,9372752.00,47966502.00,0.00
-301289.00,1435,中福,,-303921.00,1150905,,2,115,,,,917728.00,,0.00,6.57,7709.00,303341.00,1397801.00,185513.00,125137.00,1103241.00,,177804.00,799900.00,0.00
2453806.00,1436,華友聯,,20550.00,1150905,,2,115,,,,6282422.00,5548990.00,0.00,28.58,9586845.00,18824426.00,1941518.00,14677875.00,1133116.00,20960297.00,733432.00,5091030.00,2135871.00,0.00
5705585.00,1437,勤益控,,453527.00,1150905,,2,115,-13690.00,0.00,,8576936.00,8574921.00,455000.00,42.57,1379284.00,2566511.00,2018713.00,5532880.00,410786.00,14109816.00,2015.00,4153596.00,11543305.00,0.00
326713.00,1438,三地開發,,-7386.00,1150905,,2,115,,,,3141611.00,,0.00,28.25,10325324.00,14220774.00,1201022.00,11564181.00,1621262.00,14705792.00,,1238857.00,485018.00,0.00
2024681.00,1439,雋揚,,-159847.00,1150905,,2,115,,,,3487440.00,3014098.00,0.00,32.76,2304038.00,3826267.00,920000.00,2791169.00,229264.00,6278609.00,473342.00,487131.00,2452342.00,0.00
10716067.00,1440,南紡,,1270806.00,1150905,,2,115,,0.00,,28981636.00,28624120.00,0.00,17.28,9103859.00,12454933.00,16568159.00,17247024.00,69088.00,46228660.00,357516.00,8143165.00,33773727.00,0.00
-319045.00,1441,大東,,-61286.00,1150905,,2,115,,0.00,,363507.00,363507.00,0.00,5.07,673401.00,617237.00,717444.00,925721.00,26394.00,1289228.00,0.00,252320.00,671991.00,0.00
2715916.00,1442,名軒,,17371.00,1150905,,2,115,,,,7387252.00,7387252.00,0.00,20.17,4180854.00,13711502.00,3662113.00,7617586.00,991852.00,15004838.00,,3436732.00,1293336.00,0.00
