公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
2314,台揚,12420,2,上市,115,-4129,100142,64372,-35770,-36541,-7520
2316,楠梓電,38795,2,上市,115,-185043,1040661,809324,-231337,-297255,212166
2317,鴻海,25700229,2,上市,115,-25760829,1016439967,963002077,-53437890,-69122283,15744993
2321,東訊,,2,上市,115,31965,145070,98262,-46808,-68816,-9957
2323,中環,18039,2,上市,115,-1365,2877568,2241967,-635601,-2032916,1380641
2324,仁寶,934905,2,上市,115,-5371036,83290346,82928768,-361578,-13657905,17732458
2327,國巨*,577198,2,上市,115,-45074871,81473484,147495485,66022001,16478788,94040886
2328,廣宇,-448256,2,上市,115,-882745,6340801,4858327,-1482474,59665,-211138
2329,華泰,3560,2,上市,115,-1238090,2718816,3029326,310510,644556,900484
2330,台積電,38248576,2,上市,115,-849664174,2767856402,3134218213,366361811,1482341242,-304563833
2331,精英,57864,2,上市,115,447755,3482911,3608606,125695,-405083,25159
2332,友訊,-57801,2,上市,115,63908,3171235,2970958,-200277,-115299,-91085
2337,旺宏,-11035,2,上市,115,-697400,14912667,22294578,7381911,10033607,-1943261
2338,光罩,8405,2,上市,115,-49997,862276,1556253,693977,791155,-55586
2340,台亞,,2,上市,115,-73628,2547511,2809774,262263,-220091,555982
2342,茂矽,,2,上市,115,-173132,838162,682266,-155896,36486,-19250
2344,華邦電,-104519,2,上市,115,-8122911,15733774,61826277,46092503,35672052,18647881
2345,智邦,42104,2,上市,115,9807095,27890576,27677100,-213476,-15452605,5389930
2347,聯強,2311328,2,上市,115,8386131,24422175,16190283,-8231892,-43661025,24731674
2348,海悅,,2,上市,115,-706907,5923229,4732721,-1190508,-2119879,1636278
2349,錸德,255247,2,上市,115,-876833,3675880,2632290,-1043590,43953,-465957
2351,順德,10277,2,上市,115,-551198,1026336,1320250,293914,375089,459746
2352,佳世達,546302,2,上市,115,-10495316,26577881,25078195,-1499686,-2254983,10704311
2353,宏碁,118558,2,上市,115,544630,31870146,31107363,-762783,-19557346,18131375
2354,鴻準,361349,2,上市,115,2279152,15643766,19708661,4064895,2610356,-1185962
2355,敬鵬,71300,2,上市,115,120756,2534998,3284288,749290,481905,75329
2356,英業達,563232,2,上市,115,-9319498,54315410,53919523,-395887,-25399083,33759462
