備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
終端需求增加及新品導入量產,6693,廣閎科,1150911,3.6092849070766895,242458,114.19594133697134,117280,251209,半導體業,91.03457478012612,869362,1660782,11508
-,6697,東捷資訊,1150911,-5.997648982929571,117396,15.816926241551572,95284,110355,資訊服務業,1.259566086002642,928018,939707,11508
-,6703,軒郁,1150911,2.649816242567381,264207,1.8304153071530753,266333,271208,生技醫療業,13.88949453978317,1976753,2251314,11508
-,6708,天擎,1150911,0.8912772789828953,30518,37.738212400465244,22354,30790,半導體業,-0.9266612375378732,197699,195867,11508
-,6712,長聖,1150911,10.475883402017189,99247,21.10407899532788,90537,109644,生技醫療業,17.067623130084858,571550,669100,11508
基期低及下游客戶備貨增加,6716,應廣,1150911,2.663512532962074,169513,111.75153616840056,82185,174028,半導體業,66.26539158342996,705418,1172866,11508
-,6720,久昌,1150911,1.2963136081767475,32091,25.4902717726992,25904,32507,半導體業,-17.806416582826298,313095,257344,11508
-,6721,信實,1150911,-1.772503195179843,273850,-11.700077796999071,304639,268996,其他,0.04702264236967199,2377578,2378696,11508
-,6725,矽科宏晟,1150911,-5.487279424603063,355094,-12.38849803558143,383065,335609,其他電子業,3.5164977430616284,2487219,2574682,11508
當月認列台數較多,6727,亞泰金屬,1150911,-16.7109477174663,194214,16.54946321781108,138790,161759,電子零組件業,61.35866478382984,959545,1548309,11508
-,6728,上洋,1150911,7.753694393299052,419284,37.295861620465196,329066,451794,居家生活,9.355082728411945,3060315,3346610,11508
-,6730,常廣,1150911,-4.14254583874447,45431,3.633810860977583,42022,43549,生技醫療業,2.500247733240846,322928,331002,11508
-,6732,昇佳電子,1150911,0.6548466245512996,302819,-9.166440676955904,335561,304802,半導體業,-14.185979295698212,3082741,2645424,11508
係銷售醫療器材及抗生素之收入。,6733,博晟生醫,1150911,-2.211514075576972,19715,9.322370286362348,17635,19279,生技醫療業,7.76370892942466,142316,153365,11508
-,6735,美達科技,1150911,2.1169566128694193,19084,-16.82813366907089,23431,19488,其他電子業,30.705569650839678,182094,238007,11508
